Grau_P,Grau_rho,Erro_Norma,Max_Gap,Min_Gap,Norma_Melhor_Caso,Norma_Pior_Caso,Variaveis,Linhas_LMI
1,0,169.597564113186,4.9758864866204,1.1860854825391,4.18616354040806,7.97596454448936,79,200
1,1,165.413399738411,4.9441272678858,1.26673114705765,4.18520065805755,7.974676604866,82,200
1,2,165.416085977492,4.94512765542746,1.26625740878642,4.18520066236937,7.97467661411348,88,206
1,3,165.413996490549,4.94453176130141,1.2668256115827,4.18520068368152,7.97467654576549,98,216
1,4,165.413002785444,4.94429354645606,1.26714343081495,4.18520065229087,7.97467667142486,113,231
2,0,166.296114452751,4.88533675767067,1.11135151518969,4.19185136520469,7.96583660768567,187,410
2,1,153.287039973027,4.57485214922647,1.13399941388125,4.18506141591164,7.97835148392703,190,410
2,2,147.76294256737,4.57607386678938,1.10138570579687,4.18582084893847,7.97422150370004,196,410
2,3,147.762946042833,4.57607378673035,1.10138344359011,4.18582084700645,7.97422150701091,206,420
2,4,147.762937863396,4.57607383432504,1.10138855023898,4.18582084776818,7.97422150649733,221,435
3,0,166.296114129021,4.88533678692264,1.11135149455202,4.19185133601107,7.96583662838169,367,730
3,1,153.287040066523,4.57485209212055,1.13399942494782,4.18506142147177,7.97835146423171,370,730
3,2,143.199493294628,4.63676359013736,1.09043633627102,4.18670256079352,7.97188439171329,376,730
3,3,142.141516325282,4.56521603658346,1.0784618598428,4.18655271079986,7.97233141574257,386,730
3,4,142.141636730222,4.56521605666416,1.07845161255994,4.18655271164126,7.97233141564879,401,745
