Grau_P,Grau_rho,Erro_Norma,Max_Gap,Variaveis,Linhas_LMI
2,0,445.436092548865,109.094449931679,13,32
2,1,440.666279449089,108.93054053171,14,32
2,2,413.971816854448,105.105967170397,15,32
2,3,413.930477499582,105.095961876489,16,32
2,4,413.93047749964,105.095961876507,17,33
2,5,413.930477499686,105.095961876526,18,34
3,0,399.991044612267,98.7226261512042,17,41
3,1,380.885935573092,95.3449702697947,18,41
3,2,370.196756865459,93.691309368143,19,41
3,3,348.948587777224,89.7991026312313,20,41
3,4,348.948587776936,89.7991026311655,21,41
3,5,348.948587777043,89.7991026311849,22,42
4,0,399.991044612251,98.7226261512006,21,50
4,1,380.885935573192,95.3449702698284,22,50
4,2,265.019713414155,87.0154938572204,23,50
4,3,248.37689839218,75.8823265473298,24,50
4,4,239.732764427506,75.2118973614039,25,50
4,5,239.732764427557,75.2118973614106,26,50
5,0,399.991044612451,98.7226261512466,25,59
5,1,380.885935573184,95.3449702698216,26,59
5,2,216.978158254195,69.7881794155692,27,59
5,3,212.972493058142,71.3920352988035,28,59
5,4,212.391997161373,71.3163089007943,29,59
5,5,208.869925004947,71.1930056071298,30,59
