Grau_P,Grau_rho,Erro_Norma,Max_Gap,Variaveis,Linhas_LMI
1,0,0.120952298673613,0.0405569607931939,25,58
1,1,0.0412762463820324,0.0180032328102725,26,58
1,2,0.041278786281208,0.0180059250024074,27,59
1,3,0.0412827636253086,0.0180101191315395,28,60
1,4,0.0412829608096573,0.0180103998607726,29,61
1,5,0.0412820555968638,0.0180092395308824,30,62
2,0,0.120949633043675,0.0405551889134695,33,79
2,1,0.108728569059447,0.0772893321026448,34,79
2,2,0.0676707671978818,0.0480439408211225,35,79
2,3,0.0676711705380671,0.0480442614457408,36,80
2,4,0.0676556864742178,0.0480322473324142,37,81
2,5,0.0676743490153895,0.0480468418097502,38,82
3,0,0.120948087610631,0.0405542454353898,41,100
3,1,0.114643562250344,0.0841914456411569,42,100
3,2,0.102054078358553,0.0754753771120871,43,100
3,3,0.104034309371011,0.0774899810304721,44,100
3,4,0.104036155951673,0.077491301267129,45,101
3,5,0.104036280728975,0.0774913885351186,46,102
4,0,0.120949694997365,0.0405553054897442,49,121
4,1,0.113624725000344,0.0842530632626768,50,121
4,2,0.108511115991366,0.080972769394999,51,121
4,3,0.105885745876042,0.0795902763392695,52,121
4,4,0.105524264511725,0.0794800621218091,53,121
4,5,0.105524147845812,0.0794799739593053,54,122
5,0,0.12094376078118,0.0405515271059957,57,142
5,1,0.11455879985886,0.0854267192874481,58,142
5,2,0.111917058458407,0.0839229989290986,59,142
5,3,0.103976170762008,0.0787907133442024,60,142
5,4,0.104463073134572,0.0791678195394508,61,142
5,5,0.103947848570001,0.0787744009692788,62,142
