Grau_P,Grau_rho,Erro_Norma,Max_Gap,Variaveis,Linhas_LMI
1,0,0.305304842305516,0.0861824455484448,17,92
1,1,0.306124970724812,0.0886610830745318,18,92
1,2,0.261474860745477,0.0942200003844014,19,92
1,3,0.233796297095938,0.0911218709769006,20,120
1,4,0.203184035645341,0.0773805058327306,21,148
1,5,0.194256203276736,0.0798502822108231,22,176
2,0,0.198188318868283,0.0541647457776815,21,124
2,1,0.19614790007899,0.0514811856651733,22,124
2,2,0.160071785406366,0.0619867914004262,23,124
2,3,0.159134580760767,0.0605265017977947,24,124
2,4,0.132857847039939,0.0511379880526008,25,152
2,5,0.125253330494664,0.053051196949399,26,180
3,0,0.192585264706407,0.0527609221873875,25,156
3,1,0.185646189951445,0.0477627312071203,26,156
3,2,0.124152319816951,0.0489753330633804,27,156
3,3,0.11481178689616,0.0412620604826572,28,156
3,4,0.114044391532812,0.0414425941458019,29,156
3,5,0.103197389073115,0.039657419780629,30,184
4,0,0.192586858027674,0.0527616493129508,29,188
4,1,0.185642395482313,0.0477628058188801,30,188
4,2,0.109207657132845,0.0436772178043383,31,188
4,3,0.102393094754918,0.039359972997711,32,188
4,4,0.10240553903017,0.0393968050348956,33,188
4,5,0.102401773213582,0.0393982805009494,34,188
5,0,0.192590519683177,0.0527631547961449,33,220
5,1,0.185639774993697,0.0477619481784508,34,220
5,2,0.101369758810662,0.0415565761371703,35,220
5,3,0.0969618610120802,0.0389456792969209,36,220
5,4,0.0968162048370288,0.0389820535062015,37,220
5,5,0.096658135252932,0.0390342175529397,38,220
