Grau_P,Grau_rho,Erro_Norma,Max_Gap,Min_Gap,Norma_Melhor_Caso,Norma_Pior_Caso,Variaveis,Linhas_LMI,K_wc_Mode1_1,K_wc_Mode1_2,K_wc_Mode2_1,K_wc_Mode2_2
0,0,1.1945e-01,3.2919e-02,1.9734e-02,4.5128e-02,5.8313e-02,21,33,6.9836e-01,-5.4061e-01,9.0861e-01,-1.0978e+00
0,1,9.1481e-02,2.8970e-02,1.0354e-02,4.5210e-02,5.8375e-02,24,34,7.4265e-01,-5.8711e-01,8.9176e-01,-1.0779e+00
0,2,8.8228e-02,2.9407e-02,9.9910e-03,4.5208e-02,5.8380e-02,27,41,7.4968e-01,-5.9244e-01,8.9257e-01,-1.0791e+00
0,3,8.7015e-02,2.9664e-02,9.8380e-03,4.5207e-02,5.8381e-02,30,48,7.5273e-01,-5.9477e-01,8.9281e-01,-1.0796e+00
0,4,8.6386e-02,2.9827e-02,9.7541e-03,4.5207e-02,5.8381e-02,33,55,7.5419e-01,-5.9587e-01,8.9302e-01,-1.0799e+00
0,5,8.6002e-02,2.9938e-02,9.7011e-03,4.5206e-02,5.8382e-02,36,62,7.5514e-01,-5.9658e-01,8.9311e-01,-1.0801e+00
1,0,9.1449e-02,2.6561e-02,1.3674e-02,4.5126e-02,5.8013e-02,27,51,6.0855e-01,-4.7035e-01,8.9977e-01,-1.0983e+00
1,1,6.1756e-02,1.9416e-02,7.6431e-03,4.5335e-02,5.7852e-02,30,52,5.3018e-01,-4.2678e-01,8.8695e-01,-1.0761e+00
1,2,5.6702e-02,1.9673e-02,7.6330e-03,4.5317e-02,5.7820e-02,33,53,5.3121e-01,-4.2662e-01,8.8939e-01,-1.0797e+00
1,3,5.4980e-02,1.9895e-02,7.5922e-03,4.5297e-02,5.7808e-02,36,60,5.2829e-01,-4.2315e-01,8.9108e-01,-1.0819e+00
1,4,5.4091e-02,2.0054e-02,7.4822e-03,4.5283e-02,5.7800e-02,39,67,5.2557e-01,-4.2017e-01,8.9210e-01,-1.0832e+00
1,5,5.3550e-02,2.0170e-02,7.3806e-03,4.5275e-02,5.7796e-02,42,74,5.2356e-01,-4.1802e-01,8.9261e-01,-1.0839e+00
2,0,9.1447e-02,2.6561e-02,1.3673e-02,4.5125e-02,5.8013e-02,33,69,6.0838e-01,-4.7019e-01,8.9990e-01,-1.0984e+00
2,1,6.1753e-02,1.9415e-02,7.6419e-03,4.5335e-02,5.7853e-02,36,70,5.3031e-01,-4.2687e-01,8.8706e-01,-1.0761e+00
2,2,5.3260e-02,1.9463e-02,7.6117e-03,4.5316e-02,5.7829e-02,39,71,5.5354e-01,-4.4448e-01,8.9084e-01,-1.0819e+00
2,3,5.1749e-02,1.9731e-02,7.1664e-03,4.5347e-02,5.7787e-02,42,72,5.3887e-01,-4.3435e-01,8.9392e-01,-1.0850e+00
2,4,5.0748e-02,1.9903e-02,6.8256e-03,4.5339e-02,5.7780e-02,45,79,5.3846e-01,-4.3363e-01,8.9514e-01,-1.0866e+00
2,5,5.0154e-02,2.0031e-02,6.6133e-03,4.5333e-02,5.7775e-02,48,86,5.3776e-01,-4.3274e-01,8.9604e-01,-1.0877e+00
3,0,9.1449e-02,2.6561e-02,1.3674e-02,4.5126e-02,5.8013e-02,39,87,6.0840e-01,-4.7022e-01,8.9981e-01,-1.0983e+00
