Grau_P,Grau_rho,Erro_Norma,Max_Gap,Min_Gap,Norma_Melhor_Caso,Norma_Pior_Caso,Variaveis,Linhas_LMI,K_wc_Mode1_1,K_wc_Mode1_2,K_wc_Mode2_1,K_wc_Mode2_2
0,0,1.0464e-02,3.8740e-03,2.2047e-08,6.3100e-01,6.3487e-01,19,36,6.2551e-01,-4.7396e-01,9.0744e-01,-1.0361e+00
0,1,2.6060e-03,6.4120e-04,4.1269e-04,6.3002e-01,6.3503e-01,20,36,8.9498e-01,-7.0929e-01,9.6848e-01,-1.0933e+00
0,2,3.0999e-03,7.7260e-04,6.4317e-04,6.2972e-01,6.3503e-01,21,52,8.2405e-01,-6.5190e-01,9.6504e-01,-1.0900e+00
0,3,3.3485e-03,1.0206e-03,6.2377e-04,6.2953e-01,6.3504e-01,22,68,7.8053e-01,-6.1732e-01,9.6295e-01,-1.0881e+00
0,4,3.4393e-03,1.1529e-03,5.9505e-04,6.2944e-01,6.3505e-01,23,84,7.6333e-01,-6.0395e-01,9.6209e-01,-1.0873e+00
0,5,3.4906e-03,1.2462e-03,5.6921e-04,6.2939e-01,6.3506e-01,24,100,7.5446e-01,-5.9721e-01,9.6156e-01,-1.0869e+00
1,0,1.0863e-02,4.0355e-03,5.1944e-09,6.3084e-01,6.3487e-01,25,56,9.3028e-01,-7.3024e-01,9.0574e-01,-1.0347e+00
1,1,2.1739e-03,5.5791e-04,3.9008e-04,6.2861e-01,6.3523e-01,26,56,6.3461e-01,-5.0710e-01,9.7765e-01,-1.1009e+00
1,2,2.3213e-03,5.6907e-04,3.3733e-04,6.2849e-01,6.3525e-01,27,56,6.0869e-01,-4.8647e-01,9.7483e-01,-1.0986e+00
1,3,2.2547e-03,5.8408e-04,3.7410e-04,6.2839e-01,6.3528e-01,28,72,5.9915e-01,-4.7989e-01,9.6891e-01,-1.0940e+00
1,4,2.2240e-03,5.8866e-04,3.9518e-04,6.2834e-01,6.3529e-01,29,88,5.9569e-01,-4.7753e-01,9.6663e-01,-1.0922e+00
1,5,2.2062e-03,5.9100e-04,4.0367e-04,6.2832e-01,6.3530e-01,30,104,5.9394e-01,-4.7637e-01,9.6539e-01,-1.0913e+00
2,0,1.0808e-02,4.0042e-03,2.4319e-09,6.3087e-01,6.3487e-01,31,76,9.4993e-01,-7.4676e-01,9.0570e-01,-1.0347e+00
2,1,2.2359e-03,7.3527e-04,3.6856e-04,6.2779e-01,6.3543e-01,32,76,4.9485e-01,-3.9970e-01,9.6215e-01,-1.0887e+00
2,2,2.0276e-03,7.5083e-04,3.2664e-04,6.2789e-01,6.3540e-01,33,76,5.0383e-01,-4.0589e-01,9.6652e-01,-1.0921e+00
2,3,1.9843e-03,7.0858e-04,3.2883e-04,6.2788e-01,6.3541e-01,34,76,5.0660e-01,-4.0832e-01,9.6678e-01,-1.0925e+00
2,4,1.9337e-03,7.3629e-04,2.7655e-04,6.2778e-01,6.3544e-01,35,92,4.8669e-01,-3.9274e-01,9.6596e-01,-1.0920e+00
2,5,1.8992e-03,7.5176e-04,2.4096e-04,6.2771e-01,6.3546e-01,36,108,4.7463e-01,-3.8339e-01,9.6529e-01,-1.0915e+00
3,0,1.0801e-02,3.9998e-03,8.0080e-10,6.3087e-01,6.3487e-01,37,96,9.5247e-01,-7.4889e-01,9.0566e-01,-1.0346e+00
3,1,2.2647e-03,7.8374e-04,3.6453e-04,6.2764e-01,6.3549e-01,38,96,4.7715e-01,-3.8669e-01,9.5809e-01,-1.0857e+00
3,2,1.9619e-03,8.1005e-04,2.6051e-04,6.2774e-01,6.3545e-01,39,96,4.8078e-01,-3.8829e-01,9.6285e-01,-1.0894e+00
3,3,1.9201e-03,7.6762e-04,2.5658e-04,6.2775e-01,6.3545e-01,40,96,4.8459e-01,-3.9143e-01,9.6356e-01,-1.0900e+00
3,4,1.9173e-03,7.6634e-04,2.5594e-04,6.2774e-01,6.3545e-01,41,96,4.8369e-01,-3.9080e-01,9.6333e-01,-1.0899e+00
3,5,1.8826e-03,7.7573e-04,2.2109e-04,6.2766e-01,6.3548e-01,42,112,4.7101e-01,-3.8095e-01,9.6215e-01,-1.0890e+00
4,0,1.0769e-02,3.9822e-03,3.1063e-10,6.3089e-01,6.3487e-01,43,116,9.6169e-01,-7.5664e-01,9.0563e-01,-1.0346e+00
4,1,2.2807e-03,8.0113e-04,3.6416e-04,6.2759e-01,6.3551e-01,44,116,4.7112e-01,-3.8222e-01,9.5722e-01,-1.0851e+00
4,2,1.9438e-03,8.3997e-04,2.2662e-04,6.2766e-01,6.3548e-01,45,116,4.6607e-01,-3.7679e-01,9.6170e-01,-1.0886e+00
4,3,1.8799e-03,7.7343e-04,2.2029e-04,6.2766e-01,6.3548e-01,46,116,4.7113e-01,-3.8109e-01,9.6185e-01,-1.0888e+00
4,4,1.8827e-03,7.7331e-04,2.1965e-04,6.2766e-01,6.3548e-01,47,116,4.7036e-01,-3.8050e-01,9.6175e-01,-1.0887e+00
4,5,1.8792e-03,7.6680e-04,2.1847e-04,6.2765e-01,6.3548e-01,48,116,4.7044e-01,-3.8058e-01,9.6168e-01,-1.0887e+00
5,0,1.0775e-02,3.9851e-03,4.0604e-11,6.3089e-01,6.3487e-01,49,136,9.6019e-01,-7.5538e-01,9.0563e-01,-1.0346e+00
5,1,2.2877e-03,8.0971e-04,3.6406e-04,6.2757e-01,6.3552e-01,50,136,4.6826e-01,-3.8012e-01,9.5673e-01,-1.0848e+00
5,2,1.9422e-03,8.6697e-04,2.0193e-04,6.2760e-01,6.3549e-01,51,136,4.5587e-01,-3.6879e-01,9.6075e-01,-1.0879e+00
5,3,1.8596e-03,7.8276e-04,1.9501e-04,6.2760e-01,6.3550e-01,52,136,4.6184e-01,-3.7390e-01,9.6086e-01,-1.0881e+00
5,4,1.8600e-03,7.7694e-04,1.9330e-04,6.2760e-01,6.3550e-01,53,136,4.6121e-01,-3.7341e-01,9.6069e-01,-1.0879e+00
5,5,1.8601e-03,7.7707e-04,1.9325e-04,6.2760e-01,6.3550e-01,54,136,4.6119e-01,-3.7340e-01,9.6069e-01,-1.0879e+00
