Grau_P,Grau_rho,Erro_Norma,Max_Gap,Min_Gap,Norma_Melhor_Caso,Norma_Pior_Caso,Variaveis,Linhas_LMI
1,0,11.7051688545082,2.860312997267,0.665650967027017,0.683927413484774,2.87858944372475,19,56
1,1,10.8658480945,2.58786680484595,0.708922858202524,0.681679357684682,3.12618874625089,20,56
1,2,9.70758311405128,2.32814315318591,0.768119895076934,0.681544271884834,3.16522022021934,21,56
1,3,9.0025646811016,2.1961360324209,0.825671170937075,0.681497353364335,3.16162043757029,22,72
1,4,8.62527906409588,2.14151275773353,0.877380378050588,0.681378513006552,3.18039037064053,23,88
1,5,8.38273812975172,2.10194062434489,0.923405879609076,0.681257881817433,3.20125507890624,24,104
2,0,11.0413653518456,2.70698234374011,0.707522502474499,0.685586017443493,2.68504585870911,25,76
2,1,9.99334930493977,2.40692842849341,0.755386327044702,0.682606626728792,2.92846250118259,26,76
2,2,8.52589820717771,2.0678020541847,0.786085821200516,0.683257046941561,2.91048461246513,27,76
2,3,8.20692807220776,2.0390117417429,0.840947912596464,0.682460805571037,3.00444502808239,28,76
2,4,7.74510409825794,1.98495216837543,0.904400200366494,0.682481174669606,3.03183287856245,29,92
2,5,7.43079069062664,1.92368198567139,0.950801553669626,0.682436878177681,3.040357597091,30,108
3,0,11.0413632257295,2.70698251425598,0.707499194973479,0.685585910124309,2.68506922940681,31,96
3,1,9.9933661524222,2.40691621281207,0.755371672031615,0.682606858209706,2.92844078306603,32,96
3,2,8.00949669399568,2.03977581259617,0.811713875587352,0.683418182431993,2.89190378308414,33,96
3,3,7.86004111120203,1.93949590310192,0.854459857979169,0.682598167700976,2.98707536161772,34,96
3,4,7.59854264584556,1.95112225099959,0.899742070298647,0.682532519546071,3.01739200510723,35,96
3,5,7.31410698757532,1.90258421608248,0.940792470360459,0.682480164910393,3.02862945410853,36,112
4,0,11.0413623628761,2.70698216302523,0.707503302941516,0.68558599843401,2.68506485851772,37,116
4,1,9.99333131375984,2.4069386480313,0.755392271298598,0.682606408502711,2.92848786697456,38,116
4,2,7.84505672137852,2.0181075294137,0.817745337969132,0.683423975527365,2.89101298603074,39,116
4,3,7.6203513796722,1.93697620069643,0.867847633095704,0.682620067460453,2.97983590739833,40,116
4,4,7.35332008019438,1.87285158299994,0.928406224858214,0.682684795823796,3.00725294887831,41,116
4,5,7.26714724747187,1.89591073146463,0.955384946250358,0.682568981426558,3.03119014897544,42,116
5,0,11.0413657106387,2.70698305691812,0.707498824888278,0.685585970635075,2.68507020266492,43,136
5,1,9.99335305476077,2.40692266642002,0.755422703425731,0.682606933639351,2.92841304111565,44,136
5,2,7.7629638470713,2.05684696194794,0.822411107143405,0.683639686987066,2.87183434329333,45,136
5,3,7.52764469344237,1.89311949882517,0.875126411042725,0.682641361463948,2.97638694863939,46,136
5,4,7.15667919636462,1.84954239973227,0.937772519716714,0.682791430135258,2.98579494027164,47,136
5,5,7.07326197156148,1.86045217430807,0.984639675817204,0.682554619660264,3.03288304483152,48,136
