Grau_P,Grau_rho,Erro_Norma,Max_Gap,Min_Gap,Norma_Melhor_Caso,Norma_Pior_Caso,Variaveis,Linhas_LMI,K_wc_Mode1_1,K_wc_Mode1_2,K_wc_Mode2_1,K_wc_Mode2_2
1,0,1.1705e+01,2.8603e+00,6.6565e-01,6.8393e-01,2.8786e+00,19,56,1.1359e+00,-1.2084e+00,1.1359e+00,-1.2084e+00
1,1,1.0866e+01,2.5879e+00,7.0892e-01,6.8168e-01,3.1262e+00,20,56,1.1282e+00,-1.2020e+00,1.1282e+00,-1.2020e+00
1,2,9.7076e+00,2.3281e+00,7.6812e-01,6.8154e-01,3.1652e+00,21,56,1.1284e+00,-1.2023e+00,1.1284e+00,-1.2023e+00
1,3,9.0026e+00,2.1961e+00,8.2567e-01,6.8150e-01,3.1616e+00,22,72,1.1279e+00,-1.2018e+00,1.1279e+00,-1.2018e+00
1,4,8.6253e+00,2.1415e+00,8.7738e-01,6.8138e-01,3.1804e+00,23,88,1.1276e+00,-1.2016e+00,1.1276e+00,-1.2016e+00
1,5,8.3827e+00,2.1019e+00,9.2341e-01,6.8126e-01,3.2013e+00,24,104,1.1273e+00,-1.2013e+00,1.1273e+00,-1.2013e+00
2,0,1.1041e+01,2.7070e+00,7.0752e-01,6.8559e-01,2.6850e+00,25,76,1.1385e+00,-1.2102e+00,1.1385e+00,-1.2102e+00
2,1,9.9933e+00,2.4069e+00,7.5539e-01,6.8261e-01,2.9285e+00,26,76,1.1280e+00,-1.2012e+00,1.1280e+00,-1.2012e+00
2,2,8.5259e+00,2.0678e+00,7.8609e-01,6.8326e-01,2.9105e+00,27,76,1.1323e+00,-1.2052e+00,1.1323e+00,-1.2052e+00
2,3,8.2069e+00,2.0390e+00,8.4095e-01,6.8246e-01,3.0044e+00,28,76,1.1299e+00,-1.2033e+00,1.1299e+00,-1.2033e+00
2,4,7.7451e+00,1.9850e+00,9.0440e-01,6.8248e-01,3.0318e+00,29,92,1.1312e+00,-1.2045e+00,1.1312e+00,-1.2045e+00
2,5,7.4308e+00,1.9237e+00,9.5080e-01,6.8244e-01,3.0404e+00,30,108,1.1311e+00,-1.2045e+00,1.1311e+00,-1.2045e+00
3,0,1.1041e+01,2.7070e+00,7.0750e-01,6.8559e-01,2.6851e+00,31,96,1.1385e+00,-1.2102e+00,1.1385e+00,-1.2102e+00
3,1,9.9934e+00,2.4069e+00,7.5537e-01,6.8261e-01,2.9284e+00,32,96,1.1280e+00,-1.2012e+00,1.1280e+00,-1.2012e+00
3,2,8.0095e+00,2.0398e+00,8.1171e-01,6.8342e-01,2.8919e+00,33,96,1.1327e+00,-1.2055e+00,1.1327e+00,-1.2055e+00
3,3,7.8600e+00,1.9395e+00,8.5446e-01,6.8260e-01,2.9871e+00,34,96,1.1303e+00,-1.2036e+00,1.1303e+00,-1.2036e+00
3,4,7.5985e+00,1.9511e+00,8.9974e-01,6.8253e-01,3.0174e+00,35,96,1.1310e+00,-1.2043e+00,1.1310e+00,-1.2043e+00
3,5,7.3141e+00,1.9026e+00,9.4079e-01,6.8248e-01,3.0286e+00,36,112,1.1310e+00,-1.2044e+00,1.1310e+00,-1.2044e+00
4,0,1.1041e+01,2.7070e+00,7.0750e-01,6.8559e-01,2.6851e+00,37,116,1.1385e+00,-1.2102e+00,1.1385e+00,-1.2102e+00
4,1,9.9933e+00,2.4069e+00,7.5539e-01,6.8261e-01,2.9285e+00,38,116,1.1280e+00,-1.2012e+00,1.1280e+00,-1.2012e+00
4,2,7.8451e+00,2.0181e+00,8.1775e-01,6.8342e-01,2.8910e+00,39,116,1.1327e+00,-1.2055e+00,1.1327e+00,-1.2055e+00
4,3,7.6204e+00,1.9370e+00,8.6785e-01,6.8262e-01,2.9798e+00,40,116,1.1302e+00,-1.2035e+00,1.1302e+00,-1.2035e+00
4,4,7.3533e+00,1.8729e+00,9.2841e-01,6.8268e-01,3.0073e+00,41,116,1.1318e+00,-1.2050e+00,1.1318e+00,-1.2050e+00
4,5,7.2671e+00,1.8959e+00,9.5538e-01,6.8257e-01,3.0312e+00,42,116,1.1318e+00,-1.2051e+00,1.1318e+00,-1.2051e+00
5,0,1.1041e+01,2.7070e+00,7.0750e-01,6.8559e-01,2.6851e+00,43,136,1.1385e+00,-1.2102e+00,1.1385e+00,-1.2102e+00
5,1,9.9934e+00,2.4069e+00,7.5542e-01,6.8261e-01,2.9284e+00,44,136,1.1280e+00,-1.2012e+00,1.1280e+00,-1.2012e+00
5,2,7.7630e+00,2.0568e+00,8.2241e-01,6.8364e-01,2.8718e+00,45,136,1.1335e+00,-1.2062e+00,1.1335e+00,-1.2062e+00
5,3,7.5276e+00,1.8931e+00,8.7513e-01,6.8264e-01,2.9764e+00,46,136,1.1302e+00,-1.2035e+00,1.1302e+00,-1.2035e+00
5,4,7.1567e+00,1.8495e+00,9.3777e-01,6.8279e-01,2.9858e+00,47,136,1.1318e+00,-1.2050e+00,1.1318e+00,-1.2050e+00
5,5,7.0733e+00,1.8605e+00,9.8464e-01,6.8255e-01,3.0329e+00,48,136,1.1318e+00,-1.2051e+00,1.1318e+00,-1.2051e+00
