Alpha,Grau_rho,Custo_Garantido,Custo_Real
0,0,22.291709227418,13.9440348452011
0.05,0,22.291709227418,13.8295059040508
0.1,0,22.291709227418,13.724691764731
0.15,0,22.291709227418,13.6319299721128
0.2,0,22.291709227418,13.5542710170779
0.25,0,22.291709227418,13.4957084170097
0.3,0,22.291709227418,13.4614432938718
0.35,0,22.291709227418,13.458132731533
0.4,0,22.291709227418,13.4940215033457
0.45,0,22.291709227418,13.5788387589571
0.5,0,22.291709227418,13.7234380099557
0.55,0,22.291709227418,13.9393837006184
0.6,0,22.291709227418,14.2388577530693
0.65,0,22.291709227418,14.6351645723375
0.7,0,22.291709227418,15.1438564928015
0.75,0,22.291709227418,15.7843830250417
0.8,0,22.291709227418,16.5822870501827
0.85,0,22.291709227418,17.572227927902
0.9,0,22.291709227418,18.8024525182333
0.95,0,22.291709227418,20.341867776339
1,0,22.291709227418,22.2918971152772
0,1,13.3516000813631,12.0306912532148
0.05,1,13.9726646606064,11.9649348562392
0.1,1,14.5672746491188,11.9111876391801
0.15,1,15.1385476082735,11.872857854736
0.2,1,15.6890330063094,11.8543648675139
0.25,1,16.2208473779322,11.8612984301683
0.3,1,16.7357707513957,11.9004307801977
0.35,1,17.2353171026348,11.9794912194509
0.4,1,17.7207869072871,12.106749340681
0.45,1,18.1933070550293,12.2906605107673
0.5,1,18.6538616533865,12.5398752693166
0.55,1,19.1033161406282,12.8637107720158
0.6,1,19.542436402708,13.2729709038056
0.65,1,19.9719041039905,13.7809948609138
0.7,1,20.3923291098416,14.4049481225271
0.75,1,20.8042596481873,15.1675189003274
0.8,1,21.2081906935575,16.0993297925118
0.85,1,21.6045709394887,17.2425834115051
0.9,1,21.9938086393536,18.6568475731379
0.95,1,22.3762765322921,20.4286667626965
1,1,22.7523160235329,22.6883550258735
0,2,14.5985082667086,11.6050868818163
0.05,2,14.3147477113661,11.5479769184297
0.1,2,14.1167838510357,11.5033600889141
0.15,2,14.0082545801952,11.4748728642779
0.2,2,13.9912412708864,11.4672215608985
0.25,2,14.0660760003154,11.4863154460433
0.3,2,14.2313099053826,11.5392166110708
0.35,2,14.4838494548007,11.6338344091009
0.4,2,14.8192319053828,11.7784696421827
0.45,2,15.2319860599857,11.9815129542859
0.5,2,15.716016996287,12.2515740972651
0.55,2,16.2649625561653,12.5980680479641
0.6,2,16.8724879466319,13.0321108116264
0.65,2,17.5325046098643,13.5676255908405
0.7,2,18.2393150120964,14.2227115237211
0.75,2,18.9876942295781,15.0214743445642
0.8,2,19.7729228499815,15.9966719443912
0.85,2,20.5907855541401,17.1937675483892
0.9,2,21.4375476039529,18.6774419861117
0.95,2,22.3099186604705,20.5425580838836
1,2,23.2050106621774,22.9336168342383
0,3,12.6883325644864,11.5115358269395
0.05,3,12.8164578624683,11.4549252925022
0.1,3,12.9436421298166,11.4106862461459
0.15,3,13.0808170949021,11.3823963627862
0.2,3,13.2384462557827,11.3746986493944
0.25,3,13.4264319923768,11.3934623867905
0.3,3,13.6539657417383,11.445785046569
0.35,3,13.9293476814043,11.5397436719121
0.4,3,14.2598060777425,11.6839507641125
0.45,3,14.6513467771041,11.8871863850668
0.5,3,15.1086584488539,12.1584262002132
0.55,3,15.6350892823987,12.507371468349
0.6,3,16.2326980778484,12.9453636675392
0.65,3,16.902370379577,13.4865584027425
0.7,3,17.6439815184754,14.1493804784874
0.75,3,18.4565847134442,14.9584534222272
0.8,3,19.338603494032,15.9473745018021
0.85,3,20.2880121140318,17.1629687031583
0.9,3,21.3024933957024,18.6721503594269
0.95,3,22.3795689720376,20.5735429146025
1,3,23.5167012420978,23.0182492355795
0,4,12.514581035455,11.3856690487835
0.05,4,12.5890440483676,11.332290254958
0.1,4,12.6832213375201,11.2915478862177
0.15,4,12.8021285306571,11.2671197815055
0.2,4,12.9513909270195,11.2637658841398
0.25,4,13.1370966643052,11.287470433238
0.3,4,13.3656176855175,11.3454085426974
0.35,4,13.6434046802156,11.4456589512384
0.4,4,13.9767679759134,11.5967506156364
0.45,4,14.3716612416051,11.8073371866273
0.5,4,14.8334872691352,12.0862965769893
0.55,4,15.366943895368,12.4433164235732
0.6,4,15.97592320403,12.8898308080047
0.65,4,16.6634695889737,13.4401990605494
0.7,4,17.4317940087061,14.1131716970949
0.75,4,18.2823348547332,14.933853243414
0.8,4,19.2158516878107,15.9365473195657
0.85,4,20.2325370421302,17.169140605639
0.9,4,21.3321330219285,18.7002022678644
0.95,4,22.5140424902537,20.6310534380621
1,4,23.7774282151118,23.1174381408572
0,5,12.3726620694618,11.262784829695
0.05,5,12.4321554541941,11.2120218784674
0.1,5,12.5101228852577,11.1740688484532
0.15,5,12.6102496529337,11.1526922580851
0.2,5,12.7369194992273,11.1527656064105
0.25,5,12.8952988084535,11.1804007376263
0.3,5,13.0913746058176,11.2428872760808
0.35,5,13.3319370075764,11.3483694514761
0.4,5,13.6244994655566,11.5053743046664
0.45,5,13.9771554040441,11.7225086720222
0.5,5,14.3983775157663,12.0086114974128
0.55,5,14.8967749488345,12.3733893218731
0.6,5,15.4808317801473,12.8283836322755
0.65,5,16.1586549914958,13.3881693119134
0.7,5,16.9377596629347,14.0718461749789
0.75,5,17.8249128658313,14.9050490988219
0.8,5,18.8260473236743,15.9228797687316
0.85,5,19.9462442482563,17.1744461717663
0.9,5,21.1897749366921,18.7302454935165
0.95,5,22.5601847698261,20.694772057108
1,5,24.0604016476922,23.2292737849098
