Grau_P,Grau_rho,Erro_Norma,Max_Gap,Min_Gap,Norma_Melhor_Caso,Norma_Pior_Caso,Variaveis,Linhas_LMI,Inf_Menor,Sup_Maior,K_wc_Mode1_1,K_wc_Mode1_2,K_wc_Mode1_3,K_wc_Mode1_4,K_wc_Mode2_1,K_wc_Mode2_2,K_wc_Mode2_3,K_wc_Mode2_4
0,0,34.4045236889795,8.83368371163544,8.80630223960566e-05,13.4581252804985,22.2918970551564,57,80,NaN,0.1,617.075130456528,-198.622876914575,240.483215988284,-131.952237627985,0,0,0,0
0,1,32.9777743199154,8.44844360440553,1.11905883401126,13.3959379259756,22.2942826846964,58,80,NaN,0.1,616.138423791273,-197.387569780282,240.556590779147,-131.83718441418,0,0,0,0
0,2,30.1039691865454,7.63633345465688,2.61928980212446,13.3070936410202,22.30583873041,59,116,NaN,0.1,614.811071906511,-195.66944627933,240.523409340739,-131.670412710189,0,0,0,0
0,3,28.7293924344726,7.06580846586789,3.47446261783168,13.0672316897166,22.3449044164153,60,152,NaN,0.1,623.352834594693,-196.863689941385,240.780328259525,-131.759567909803,0,0,0,0
0,4,28.6635542824543,6.8268862427084,3.71632098216744,12.7465592733492,22.4052754593729,61,188,NaN,0.1,644.753902315332,-203.325768846838,241.262357174971,-132.321788961889,0,0,0,0
0,5,28.0572921825935,6.61177131098494,4.17010787690332,12.7382457015803,22.3944530718875,62,224,NaN,0.1,648.092731117016,-205.007287569363,241.173258175524,-132.468555410414,0,0,0,0
1,0,34.4032214863223,8.83335070378023,0.000225835341709058,13.4583205173668,22.2918970564887,77,124,NaN,0.1,617.072965827389,-198.624843332996,240.481291461762,-131.952317186269,0,0,0,0
1,1,21.6134182326974,6.31949195835456,0.0715657738142923,11.9052663860643,22.6529163222195,78,124,0.13,0.145,704.98467740348,-225.706293755594,236.504100334596,-132.804986655964,0,0,0,0
1,2,17.6211930892622,5.14675398600399,0.352383556649826,11.8588804500169,22.6896346853525,79,124,0.16,0.175,712.647593341401,-229.098622503194,234.088141145147,-133.411408010392,0,0,0,0
1,3,14.847878025416,4.36333989866127,0.524883122047832,11.5557739931902,22.880446559313,80,160,0.205,0.22,736.867734682979,-237.704069097292,233.26270542711,-133.725522893322,0,0,0,0
1,4,13.0971407688779,3.78188728074846,0.729374427832781,11.3902160409271,23.0090372585467,81,196,0.235,0.25,750.143681183875,-242.344102645135,232.76997389717,-133.865255755435,0,0,0,0
1,5,11.9096905761759,3.37640981665952,0.952775234976631,11.271768019314,23.1133207730383,82,232,0.25,0.265,760.32974525065,-245.795712468404,232.515866582485,-134.043889908859,0,0,0,0
2,0,34.4043222096457,8.83365727522552,0.000461277139336858,13.4577787905726,22.2918973429375,97,168,NaN,0.1,617.092672355626,-198.632308033948,240.471079850971,-131.952367848174,0,0,0,0
2,1,21.3588034331573,6.26943665373638,0.0639970090379194,11.8545166318638,22.6882817941476,98,168,0.13,0.145,703.976669398933,-224.220090578636,236.984784883948,-132.614090204168,0,0,0,0
2,2,15.1027050841914,4.61873251204497,0.267444527390147,11.5153602220529,22.8981288939015,99,168,0.205,0.22,735.190984025727,-235.579881032569,235.559980609973,-133.398229388257,0,0,0,0
2,3,13.0986328630821,3.98118233449531,0.472606657160274,11.3820218674832,23.0068011750271,100,168,0.22,0.235,748.092698027967,-240.211657473841,233.993871540162,-133.902763360366,0,0,0,0
2,4,11.3527451417194,3.39850066575172,0.655747004388378,11.2087358082045,23.1639163282761,101,204,0.25,0.265,763.751185515501,-245.595655786156,233.619526750816,-134.192476636746,0,0,0,0
2,5,10.1772112854191,2.97798218260162,0.82584972901574,11.0923908975737,23.2800457511013,102,240,0.265,0.28,774.542331667812,-249.382490822176,233.336204030027,-134.397261606945,0,0,0,0
3,0,34.4041024351447,8.83357649588504,0.000187887859180336,13.458132731533,22.2918971152772,117,212,NaN,0.1,617.072598615106,-198.624478043699,240.477184197872,-131.951665254588,0,0,0,0
3,1,21.358772010496,6.26946549890248,0.0639609976593754,11.8543648675139,22.6883550258735,118,212,0.13,0.145,703.987267892572,-224.223578826475,236.982614524562,-132.614512594391,0,0,0,0
3,2,14.2291127854185,4.01660348837529,0.271393827939068,11.4672215608985,22.9336168342383,119,212,0.22,0.235,737.658082605928,-236.263685799119,235.047044571359,-133.386754797236,0,0,0,0
3,3,11.749332651554,3.49813129121696,0.498452006518324,11.3746986493944,23.0182492355795,120,212,0.235,0.25,751.609408763341,-241.995194926303,233.59430520568,-134.117362032486,0,0,0,0
3,4,11.1286949871613,3.34848161131924,0.659990074254583,11.2637658841398,23.1174381408572,121,212,0.25,0.265,760.706387660276,-244.971814776,233.171239848517,-134.277454406424,0,0,0,0
3,5,9.94312416720306,2.91986376700946,0.831127862782367,11.1526922580851,23.2292737849098,122,248,0.265,0.28,771.722598149011,-248.887817488784,232.79265422309,-134.541894996431,0,0,0,0
