Grau_P,Grau_rho,Erro_Norma,Max_Gap,Min_Gap,Norma_Melhor_Caso,Norma_Pior_Caso,Variaveis,Linhas_LMI,Inf_Menor,Sup_Maior,K_wc_Mode1_1,K_wc_Mode1_2,K_wc_Mode1_3,K_wc_Mode1_4,K_wc_Mode2_1,K_wc_Mode2_2,K_wc_Mode2_3,K_wc_Mode2_4
0,0,3.4405e+01,8.8337e+00,8.8063e-05,1.3458e+01,2.2292e+01,57,80,,1.0000e-01,6.1708e+02,-1.9862e+02,2.4048e+02,-1.3195e+02,0,0,0,0
0,1,3.2978e+01,8.4484e+00,1.1191e+00,1.3396e+01,2.2294e+01,58,80,,1.0000e-01,6.1614e+02,-1.9739e+02,2.4056e+02,-1.3184e+02,0,0,0,0
0,2,3.0104e+01,7.6363e+00,2.6193e+00,1.3307e+01,2.2306e+01,59,116,,1.0000e-01,6.1481e+02,-1.9567e+02,2.4052e+02,-1.3167e+02,0,0,0,0
0,3,2.8729e+01,7.0658e+00,3.4745e+00,1.3067e+01,2.2345e+01,60,152,,1.0000e-01,6.2335e+02,-1.9686e+02,2.4078e+02,-1.3176e+02,0,0,0,0
0,4,2.8664e+01,6.8269e+00,3.7163e+00,1.2747e+01,2.2405e+01,61,188,,1.0000e-01,6.4475e+02,-2.0333e+02,2.4126e+02,-1.3232e+02,0,0,0,0
0,5,2.8057e+01,6.6118e+00,4.1701e+00,1.2738e+01,2.2394e+01,62,224,,1.0000e-01,6.4809e+02,-2.0501e+02,2.4117e+02,-1.3247e+02,0,0,0,0
1,0,3.4403e+01,8.8334e+00,2.2584e-04,1.3458e+01,2.2292e+01,77,124,,1.0000e-01,6.1707e+02,-1.9862e+02,2.4048e+02,-1.3195e+02,0,0,0,0
1,1,2.1613e+01,6.3195e+00,7.1566e-02,1.1905e+01,2.2653e+01,78,124,1.3000e-01,1.4500e-01,7.0498e+02,-2.2571e+02,2.3650e+02,-1.3280e+02,0,0,0,0
1,2,1.7621e+01,5.1468e+00,3.5238e-01,1.1859e+01,2.2690e+01,79,124,1.6000e-01,1.7500e-01,7.1265e+02,-2.2910e+02,2.3409e+02,-1.3341e+02,0,0,0,0
1,3,1.4848e+01,4.3633e+00,5.2488e-01,1.1556e+01,2.2880e+01,80,160,2.0500e-01,2.2000e-01,7.3687e+02,-2.3770e+02,2.3326e+02,-1.3373e+02,0,0,0,0
1,4,1.3097e+01,3.7819e+00,7.2937e-01,1.1390e+01,2.3009e+01,81,196,2.3500e-01,2.5000e-01,7.5014e+02,-2.4234e+02,2.3277e+02,-1.3387e+02,0,0,0,0
1,5,1.1910e+01,3.3764e+00,9.5278e-01,1.1272e+01,2.3113e+01,82,232,2.5000e-01,2.6500e-01,7.6033e+02,-2.4580e+02,2.3252e+02,-1.3404e+02,0,0,0,0
2,0,3.4404e+01,8.8337e+00,4.6128e-04,1.3458e+01,2.2292e+01,97,168,,1.0000e-01,6.1709e+02,-1.9863e+02,2.4047e+02,-1.3195e+02,0,0,0,0
2,1,2.1359e+01,6.2694e+00,6.3997e-02,1.1855e+01,2.2688e+01,98,168,1.3000e-01,1.4500e-01,7.0398e+02,-2.2422e+02,2.3698e+02,-1.3261e+02,0,0,0,0
2,2,1.5103e+01,4.6187e+00,2.6744e-01,1.1515e+01,2.2898e+01,99,168,2.0500e-01,2.2000e-01,7.3519e+02,-2.3558e+02,2.3556e+02,-1.3340e+02,0,0,0,0
2,3,1.3099e+01,3.9812e+00,4.7261e-01,1.1382e+01,2.3007e+01,100,168,2.2000e-01,2.3500e-01,7.4809e+02,-2.4021e+02,2.3399e+02,-1.3390e+02,0,0,0,0
2,4,1.1353e+01,3.3985e+00,6.5575e-01,1.1209e+01,2.3164e+01,101,204,2.5000e-01,2.6500e-01,7.6375e+02,-2.4560e+02,2.3362e+02,-1.3419e+02,0,0,0,0
2,5,1.0177e+01,2.9780e+00,8.2585e-01,1.1092e+01,2.3280e+01,102,240,2.6500e-01,2.8000e-01,7.7454e+02,-2.4938e+02,2.3334e+02,-1.3440e+02,0,0,0,0
3,0,3.4404e+01,8.8336e+00,1.8789e-04,1.3458e+01,2.2292e+01,117,212,,1.0000e-01,6.1707e+02,-1.9862e+02,2.4048e+02,-1.3195e+02,0,0,0,0
3,1,2.1359e+01,6.2695e+00,6.3961e-02,1.1854e+01,2.2688e+01,118,212,1.3000e-01,1.4500e-01,7.0399e+02,-2.2422e+02,2.3698e+02,-1.3261e+02,0,0,0,0
3,2,1.4229e+01,4.0166e+00,2.7139e-01,1.1467e+01,2.2934e+01,119,212,2.2000e-01,2.3500e-01,7.3766e+02,-2.3626e+02,2.3505e+02,-1.3339e+02,0,0,0,0
3,3,1.1749e+01,3.4981e+00,4.9845e-01,1.1375e+01,2.3018e+01,120,212,2.3500e-01,2.5000e-01,7.5161e+02,-2.4200e+02,2.3359e+02,-1.3412e+02,0,0,0,0
3,4,1.1129e+01,3.3485e+00,6.5999e-01,1.1264e+01,2.3117e+01,121,212,2.5000e-01,2.6500e-01,7.6071e+02,-2.4497e+02,2.3317e+02,-1.3428e+02,0,0,0,0
3,5,9.9431e+00,2.9199e+00,8.3113e-01,1.1153e+01,2.3229e+01,122,248,2.6500e-01,2.8000e-01,7.7172e+02,-2.4889e+02,2.3279e+02,-1.3454e+02,0,0,0,0
