Alpha,Grau_rho,Custo_Garantido,Custo_Real
0,0,5.35981742952857,2.27533706913599
0.05,0,5.35981742952857,2.32722204907374
0.1,0,5.35981742952857,2.38214694993841
0.15,0,5.35981742952857,2.4404028035403
0.2,0,5.35981742952857,2.50232089077692
0.25,0,5.35981742952857,2.56828021399383
0.3,0,5.35981742952857,2.63871674542517
0.35,0,5.35981742952857,2.71413497498886
0.4,0,5.35981742952857,2.79512246751426
0.45,0,5.35981742952857,2.88236840577615
0.5,0,5.35981742952857,2.97668748134722
0.55,0,5.35981742952857,3.07905106344027
0.6,0,5.35981742952857,3.19062842895158
0.65,0,5.35981742952857,3.31284214468557
0.7,0,5.35981742952857,3.44744374460508
0.75,0,5.35981742952857,3.59661914859755
0.8,0,5.35981742952857,3.76313874518673
0.85,0,5.35981742952857,3.95057644101094
0.9,0,5.35981742952857,4.16363866485572
0.95,0,5.35981742952857,4.4086753100227
1,0,5.35981742952857,4.69450518291789
0,1,4.84372144178457,2.27734701116154
0.05,1,4.86040263535287,2.32924048673318
0.1,1,4.87702677354621,2.38416439486296
0.15,1,4.89359443783688,2.44240769181449
0.2,1,4.91010619988708,2.50429912341664
0.25,1,4.92656262177911,2.57021457881398
0.3,1,4.94296425623861,2.64058618392321
0.35,1,4.95931164685121,2.71591364466098
0.4,1,4.97560532827268,2.7967785311725
0.45,1,4.99184582643304,2.88386245213951
0.5,1,5.00803365873458,2.97797044100729
0.55,1,5.02416933424422,3.0800614241192
0.6,1,5.04025335388029,3.19128846203312
0.65,1,5.05628621059399,3.31305271148649
0.7,1,5.07226838954569,3.44707702138037
0.75,1,5.08820036827619,3.5955082323428
0.8,1,5.10408261687323,3.76106246409079
0.85,1,5.11991559813333,3.947236574896
0.9,1,5.13569976771914,4.15862474156606
0.95,1,5.15143557431246,4.40140825084963
1,1,5.16712345976302,4.6841432279562
0,2,4.88618342243403,2.27789845292317
0.05,2,4.84517191806472,2.32979946364205
0.1,2,4.80997939735689,2.38472813766307
0.15,2,4.78073436825908,2.44297279898125
0.2,2,4.75754651119359,2.50486142002685
0.25,2,4.74050471173144,2.57076893891523
0.3,2,4.72967540611264,2.64112630521319
0.35,2,4.72510130916645,2.71643176022941
0.4,2,4.72680058031299,2.79726503727316
0.45,2,4.73476646516688,2.88430542258739
0.5,2,4.74896742911042,2.97835498648486
0.55,2,4.76934777671908,3.08036883625065
0.6,2,4.79582872893726,3.19149505397071
0.65,2,4.8283099101824,3.31312822292262
0.7,2,4.86667118158729,3.44698238592003
0.75,2,4.91077474540219,3.59519239042078
0.8,2,4.96046743966015,3.76045771070934
0.85,2,5.01558314149394,3.9462515923979
0.9,2,5.07594520143872,4.15713385111785
0.95,2,5.14136883876662,4.39923424317225
1,2,5.21166343828273,4.68102877957477
0,3,4.82684517939823,2.27833884833132
0.05,3,4.79374868224692,2.33024482932521
0.1,3,4.76412978404401,2.38517653629178
0.15,3,4.73840188646755,2.44342185164137
0.2,3,4.71697842731152,2.50530820771801
0.25,3,4.70026927708725,2.57120987859895
0.3,3,4.68867671712278,2.64155699261717
0.35,3,4.68259108455833,2.71684676879229
0.4,3,4.68238620143661,2.79765765859053
0.45,3,4.68841473422858,2.88466732790077
0.5,3,4.70100365317389,2.9786757802017
0.55,3,4.7204499743412,3.08063545968923
0.6,3,4.74701696850014,3.19169097801082
0.65,3,4.7809310080623,3.31323233784284
0.7,3,4.82237919640439,3.44696744819838
0.75,3,4.87150788454672,3.59502280680231
0.8,3,4.92842213182869,3.76008630566558
0.85,3,4.99318611455587,3.94561477072121
0.9,3,5.06582443480537,4.15614414169368
0.95,3,5.14632423563825,4.39776840106099
1,3,5.23463799288154,4.67890800281169
0,4,4.81205059006981,2.27814596089757
0.05,4,4.77587407855038,2.33004830457326
0.1,4,4.74414245047864,2.38497685260411
0.15,4,4.71707105676509,2.44321961149892
0.2,4,4.69490141883051,2.50510416628445
0.25,4,4.67789951066208,2.57100497979547
0.3,4,4.6663534629952,2.64135241499952
0.35,4,4.66057067669366,2.71664398438283
0.4,4,4.66087435537838,2.79745850901837
0.45,4,4.66759949523287,2.88447412394074
0.5,4,4.68108840139092,2.97849143335922
0.55,4,4.70168583326908,3.08046365830515
0.6,4,4.72973391278713,3.19153642620174
0.65,4,4.76556695627191,3.31310108470031
0.7,4,4.80950640952004,3.44686734921255
0.75,4,4.86185607299018,3.59496418331968
0.8,4,4.92289779837454,3.76008290847334
0.85,4,4.99288781827194,3.94568522425837
0.9,4,5.07205383845508,4.1563141733361
0.95,4,5.16059298004758,4.3980744031642
1,4,5.25867061085439,4.67940296272417
0,5,4.8092686264644,2.27815662978891
0.05,5,4.77108709154541,2.33005907607026
0.1,5,4.73782224851173,2.38498757883273
0.15,5,4.70957454551848,2.44323011310694
0.2,5,4.6864740482966,2.50511422557275
0.25,5,4.66868445482072,2.57101433209288
0.3,5,4.65640663596271,2.6413607377466
0.35,5,4.64988155789137,2.71665088319726
0.4,5,4.64939243950827,2.7974634997397
0.45,5,4.65526600141135,2.88447660925565
0.5,5,4.66787267377577,2.97849067202538
0.55,5,4.68762565120625,3.08045872412056
0.6,5,4.71497871479769,3.19152615253936
0.65,5,4.75042278627847,3.31308398836088
0.7,5,4.79448123580176,3.44684152405477
0.75,5,4.84770403145921,3.59492714873404
0.8,5,4.91066089059016,3.76003138866886
0.85,5,4.98393366410161,3.94561481845493
0.9,5,5.06810824750928,4.15621884814484
0.95,5,5.16376635806998,4.39794568374423
1,5,5.27147753901759,4.67922858982543
