Alpha,Grau_rho,Custo_Garantido,Custo_Real
0,0,0.333438361872624,0.0762035451094702
0.05,0,0.333438361872624,0.070125144874344
0.1,0,0.333438361872624,0.0670887768381387
0.15,0,0.333438361872624,0.0662290551385561
0.2,0,0.333438361872624,0.0666045080994109
0.25,0,0.333438361872624,0.0673589595276237
0.3,0,0.333438361872624,0.0678392471440445
0.35,0,0.333438361872624,0.0676683461076271
0.4,0,0.333438361872624,0.0668166102204206
0.45,0,0.333438361872624,0.065694269371086
0.5,0,0.333438361872624,0.0652333028667336
0.55,0,0.333438361872624,0.0668295968173239
0.6,0,0.333438361872624,0.0719618938925668
0.65,0,0.333438361872624,0.0815921801886264
0.7,0,0.333438361872624,0.0959081034242089
0.75,0,0.333438361872624,0.114642027612067
0.8,0,0.333438361872624,0.137539012445749
0.85,0,0.333438361872624,0.164654419237938
0.9,0,0.333438361872624,0.196529389608848
0.95,0,0.333438361872624,0.234403111051093
1,0,0.333438361872624,0.280652177338228
0,1,0.232568706667161,0.0671689223309761
0.05,1,0.24031413846654,0.0626214674412584
0.1,1,0.24781760827874,0.0608964594428987
0.15,1,0.2551004680495,0.0610644950547623
0.2,1,0.262181102723201,0.0621714185715347
0.25,1,0.269075477238698,0.0634161513776448
0.3,1,0.275797560317912,0.0642612387402945
0.35,1,0.282359657358114,0.0645028241189494
0.4,1,0.288772675178021,0.0643444828983067
0.45,1,0.295046334929872,0.0644732140194287
0.5,1,0.30118934506657,0.0660559513832729
0.55,1,0.307209543158589,0.0705001201315649
0.6,1,0.313114013154615,0.0789508567987317
0.65,1,0.318909183091155,0.0918938669269542
0.7,1,0.324600907093537,0.109237859644594
0.75,1,0.330194534648934,0.130687693698683
0.8,1,0.33569496948585,0.156046114374299
0.85,1,0.341106719904761,0.185361743490646
0.9,1,0.346433942029739,0.219004913477925
0.95,1,0.351680477161221,0.257753454574631
1,1,0.356849884184405,0.302953937803731
0,2,0.241428435565505,0.0686793364916375
0.05,2,0.228246443850234,0.0637361500759006
0.1,2,0.216576689959111,0.0616998268744957
0.15,2,0.206675494458603,0.0616111242675066
0.2,2,0.198807271643841,0.0624878775324645
0.25,2,0.193220538193858,0.063509857591822
0.3,2,0.190116531038405,0.0641296029466353
0.35,2,0.189617215043692,0.0641391975964255
0.4,2,0.191742939845177,0.0637440503758936
0.45,2,0.196408491651234,0.0636479811626819
0.5,2,0.203439204868804,0.0650660477847917
0.55,2,0.212600560759575,0.069485336818426
0.6,2,0.223630858035328,0.0781198172527462
0.65,2,0.236268484501518,0.091466412616321
0.7,2,0.250270067615702,0.109396281941002
0.75,2,0.265419838355742,0.131563357819028
0.8,2,0.281532499569597,0.157721878086145
0.85,2,0.298452140062219,0.187872183189549
0.9,2,0.316049181891407,0.222328413645569
0.95,2,0.334216643381854,0.261792024463288
1,2,0.352866430714705,0.307490515658665
0,3,0.230918943925244,0.0676273390650139
0.05,3,0.218225567759702,0.0629497330361192
0.1,3,0.206387398497117,0.0611208918734601
0.15,3,0.195697030379344,0.0611835066014994
0.2,3,0.186496102584897,0.0621656240884668
0.25,3,0.1791643199168,0.0632621114200255
0.3,3,0.174092472518563,0.0639428362779742
0.35,3,0.171637677044237,0.0640196544184573
0.4,3,0.172068162785709,0.0637205996075783
0.45,3,0.175515697047878,0.0637707534914033
0.5,3,0.181956323086216,0.0653915416647828
0.55,3,0.191228065355642,0.0700444838014106
0.6,3,0.203075497903307,0.0788918738428445
0.65,3,0.217200938420512,0.0923888909049183
0.7,3,0.23330587630521,0.110396935799051
0.75,3,0.25111650719278,0.132581396931142
0.8,3,0.270395158946835,0.158712180995868
0.85,3,0.290942342815108,0.188800763744064
0.9,3,0.312593832792545,0.223164300269969
0.95,3,0.335215757216317,0.262495871866176
