Grau_P,Grau_mu,Erro_Norma,Max_Gap,Min_Gap,Norma_Melhor_Caso,Norma_Pior_Caso,Variaveis,Linhas_LMI,K_wc_Mode1_1,K_wc_Mode1_2
1,0,1.0868e+00,2.6820e-01,5.2787e-02,6.5233e-02,2.8065e-01,15,20,-1.5963e-01,4.0207e-01
1,1,8.9327e-01,2.3671e-01,5.3897e-02,6.0896e-02,3.0295e-01,16,20,-1.0313e-01,4.8112e-01
1,2,8.9327e-01,2.3671e-01,5.3896e-02,6.0896e-02,3.0295e-01,17,20,-1.0313e-01,4.8113e-01
1,3,8.9327e-01,2.3671e-01,5.3896e-02,6.0896e-02,3.0296e-01,18,20,-1.0313e-01,4.8113e-01
1,4,8.9327e-01,2.3671e-01,5.3895e-02,6.0896e-02,3.0296e-01,19,20,-1.0312e-01,4.8114e-01
1,5,8.9326e-01,2.3671e-01,5.3888e-02,6.0897e-02,3.0296e-01,20,20,-1.0314e-01,4.8115e-01
2,0,1.0868e+00,2.6820e-01,5.2787e-02,6.5233e-02,2.8065e-01,19,30,-1.5963e-01,4.0207e-01
2,1,8.9327e-01,2.3671e-01,5.3896e-02,6.0896e-02,3.0295e-01,20,30,-1.0313e-01,4.8112e-01
2,2,6.5114e-01,1.6458e-01,5.0432e-02,6.1025e-02,3.0705e-01,21,30,-1.0513e-01,4.9136e-01
2,3,6.5114e-01,1.6458e-01,5.0433e-02,6.1025e-02,3.0705e-01,22,30,-1.0513e-01,4.9136e-01
2,4,6.5114e-01,1.6458e-01,5.0433e-02,6.1025e-02,3.0705e-01,23,30,-1.0513e-01,4.9136e-01
2,5,6.5114e-01,1.6458e-01,5.0432e-02,6.1025e-02,3.0706e-01,24,30,-1.0513e-01,4.9136e-01
3,0,1.0868e+00,2.6821e-01,5.2786e-02,6.5233e-02,2.8065e-01,23,40,-1.5963e-01,4.0207e-01
3,1,8.9327e-01,2.3671e-01,5.3896e-02,6.0896e-02,3.0295e-01,24,40,-1.0313e-01,4.8113e-01
3,2,6.0510e-01,1.7275e-01,4.5376e-02,6.1611e-02,3.0749e-01,25,40,-1.1352e-01,4.8956e-01
3,3,5.4221e-01,1.6329e-01,5.0703e-02,6.1121e-02,3.0800e-01,26,40,-1.0642e-01,4.9339e-01
3,4,5.4221e-01,1.6329e-01,5.0702e-02,6.1121e-02,3.0800e-01,27,40,-1.0642e-01,4.9340e-01
3,5,5.4221e-01,1.6329e-01,5.0702e-02,6.1121e-02,3.0800e-01,28,40,-1.0642e-01,4.9340e-01
4,0,1.0868e+00,2.6821e-01,5.2784e-02,6.5233e-02,2.8065e-01,27,50,-1.5963e-01,4.0208e-01
4,1,8.9327e-01,2.3671e-01,5.3899e-02,6.0896e-02,3.0295e-01,28,50,-1.0313e-01,4.8112e-01
4,2,5.9267e-01,2.1169e-01,4.1990e-02,6.3421e-02,3.0191e-01,29,50,-1.3726e-01,4.6655e-01
4,3,5.1401e-01,1.6411e-01,4.7604e-02,6.1138e-02,3.1073e-01,30,50,-1.0678e-01,5.0044e-01
4,4,4.8211e-01,1.6226e-01,5.1956e-02,6.1199e-02,3.0806e-01,31,50,-1.0741e-01,4.9322e-01
4,5,4.8211e-01,1.6226e-01,5.1955e-02,6.1199e-02,3.0806e-01,32,50,-1.0741e-01,4.9322e-01
5,0,1.0868e+00,2.6821e-01,5.2786e-02,6.5233e-02,2.8065e-01,31,60,-1.5963e-01,4.0207e-01
5,1,8.9327e-01,2.3671e-01,5.3898e-02,6.0896e-02,3.0295e-01,32,60,-1.0313e-01,4.8112e-01
5,2,5.4423e-01,1.9215e-01,4.1954e-02,6.2632e-02,3.0535e-01,33,60,-1.2805e-01,4.7881e-01
5,3,4.7523e-01,1.6355e-01,4.7796e-02,6.1181e-02,3.1114e-01,34,60,-1.0736e-01,5.0129e-01
5,4,4.5313e-01,1.6309e-01,5.1340e-02,6.1298e-02,3.0851e-01,35,60,-1.0870e-01,4.9395e-01
5,5,4.4486e-01,1.6150e-01,5.3510e-02,6.1262e-02,3.0785e-01,36,60,-1.0819e-01,4.9239e-01
