Grau_P,Grau_mu,Erro_Norma,Max_Gap,Min_Gap,Norma_Melhor_Caso,Norma_Pior_Caso,Variaveis,Linhas_LMI,K_wc_Mode1_1,K_wc_Mode1_2
1,0,8.7441e+01,2.1283e+00,1.3248e+00,0,8.0345e-01,23,40,-3.4126e-01,9.0857e-01
1,1,6.1451e+01,2.1921e+00,6.9982e-01,0,8.0999e-01,26,40,-3.4235e-01,9.1014e-01
1,2,6.1451e+01,2.1921e+00,6.9982e-01,0,8.0999e-01,32,40,-3.4235e-01,9.1014e-01
1,3,6.1451e+01,2.1921e+00,6.9982e-01,0,8.0999e-01,42,40,-3.4235e-01,9.1014e-01
1,4,6.1451e+01,2.1921e+00,6.9982e-01,0,8.0999e-01,57,40,-3.4235e-01,9.1014e-01
1,5,6.1451e+01,2.1921e+00,6.9982e-01,0,8.0999e-01,78,40,-3.4235e-01,9.1014e-01
2,0,8.7441e+01,2.1283e+00,1.3248e+00,0,8.0345e-01,47,100,-3.4126e-01,9.0857e-01
2,1,6.1451e+01,2.1921e+00,6.9982e-01,0,8.0999e-01,50,100,-3.4235e-01,9.1014e-01
2,2,4.3508e+01,2.2286e+00,6.7496e-01,0,8.1167e-01,56,100,-3.4261e-01,9.1056e-01
2,3,4.3508e+01,2.2286e+00,6.7496e-01,0,8.1167e-01,66,100,-3.4261e-01,9.1056e-01
2,4,4.3508e+01,2.2286e+00,6.7497e-01,0,8.1167e-01,81,100,-3.4261e-01,9.1056e-01
2,5,4.3508e+01,2.2286e+00,6.7497e-01,0,8.1167e-01,102,100,-3.4261e-01,9.1056e-01
3,0,8.7441e+01,2.1283e+00,1.3248e+00,0,8.0345e-01,87,200,-3.4126e-01,9.0857e-01
3,1,6.1451e+01,2.1921e+00,6.9982e-01,0,8.0999e-01,90,200,-3.4235e-01,9.1014e-01
3,2,4.0990e+01,2.2057e+00,5.8120e-01,0,8.1072e-01,96,200,-3.4247e-01,9.1032e-01
3,3,3.5553e+01,2.2868e+00,5.4904e-01,0,8.1384e-01,106,200,-3.4293e-01,9.1110e-01
3,4,3.5553e+01,2.2868e+00,5.4904e-01,0,8.1384e-01,121,200,-3.4293e-01,9.1110e-01
3,5,3.5553e+01,2.2868e+00,5.4904e-01,0,8.1384e-01,142,200,-3.4293e-01,9.1110e-01
4,0,8.7441e+01,2.1283e+00,1.3248e+00,0,8.0345e-01,147,350,-3.4126e-01,9.0857e-01
4,1,6.1451e+01,2.1921e+00,6.9982e-01,0,8.0999e-01,150,350,-3.4235e-01,9.1014e-01
4,2,3.9637e+01,2.1938e+00,5.0889e-01,0,8.1020e-01,156,350,-3.4239e-01,9.1019e-01
4,3,3.3789e+01,2.2638e+00,4.8109e-01,0,8.1315e-01,166,350,-3.4284e-01,9.1092e-01
4,4,3.1172e+01,2.3565e+00,4.6525e-01,0,8.1600e-01,181,350,-3.4324e-01,9.1163e-01
4,5,3.1172e+01,2.3565e+00,4.6525e-01,0,8.1600e-01,202,350,-3.4324e-01,9.1163e-01
5,0,8.7441e+01,2.1283e+00,1.3248e+00,0,8.0345e-01,231,560,-3.4126e-01,9.0857e-01
5,1,6.1451e+01,2.1921e+00,6.9982e-01,0,8.0999e-01,234,560,-3.4235e-01,9.1014e-01
5,2,3.8025e+01,2.1789e+00,4.6863e-01,0,8.0935e-01,240,560,-3.4225e-01,9.0999e-01
5,3,3.2518e+01,2.2497e+00,4.3403e-01,0,8.1261e-01,250,560,-3.4275e-01,9.1079e-01
5,4,2.9820e+01,2.3356e+00,4.1722e-01,0,8.1563e-01,265,560,-3.4321e-01,9.1152e-01
5,5,2.8442e+01,2.4320e+00,4.0914e-01,0,8.1805e-01,286,560,-3.4353e-01,9.1214e-01
