Grau_P,Grau_mu,Erro_Norma,Max_Gap,Min_Gap,Norma_Melhor_Caso,Norma_Pior_Caso,Variaveis,Linhas_LMI,K_wc_Mode1_1,K_wc_Mode1_2
1,0,2.0925e+00,5.1782e-01,8.8568e-02,9.6919e-02,5.2617e-01,13,16,-2.9544e-01,4.1030e-01
1,1,2.0004e+00,5.1024e-01,1.2661e-01,9.6488e-02,5.2823e-01,14,16,-2.9699e-01,4.1237e-01
1,2,1.5458e+00,4.4432e-01,1.2509e-01,9.6414e-02,5.2911e-01,15,22,-2.9699e-01,4.1368e-01
1,3,1.3570e+00,4.3904e-01,1.3027e-01,9.6397e-02,5.2932e-01,16,28,-2.9699e-01,4.1400e-01
1,4,1.2547e+00,4.3441e-01,1.3537e-01,9.6394e-02,5.2936e-01,17,34,-2.9699e-01,4.1406e-01
1,5,1.1911e+00,4.3078e-01,1.3974e-01,9.6395e-02,5.2934e-01,18,40,-2.9699e-01,4.1403e-01
2,0,2.0925e+00,5.1782e-01,8.8566e-02,9.6919e-02,5.2617e-01,16,24,-2.9543e-01,4.1030e-01
2,1,2.0004e+00,5.1024e-01,1.2661e-01,9.6488e-02,5.2824e-01,17,24,-2.9699e-01,4.1237e-01
2,2,1.5162e+00,4.4308e-01,1.2496e-01,9.6362e-02,5.2974e-01,18,24,-2.9699e-01,4.1462e-01
2,3,1.3453e+00,4.3910e-01,1.2953e-01,9.6359e-02,5.2977e-01,19,30,-2.9699e-01,4.1468e-01
2,4,1.2406e+00,4.3671e-01,1.3391e-01,9.6365e-02,5.2970e-01,20,36,-2.9699e-01,4.1457e-01
2,5,1.1742e+00,4.3502e-01,1.3836e-01,9.6383e-02,5.2949e-01,21,42,-2.9699e-01,4.1426e-01
3,0,2.0925e+00,5.1782e-01,8.8570e-02,9.6921e-02,5.2617e-01,19,32,-2.9543e-01,4.1031e-01
3,1,2.0004e+00,5.1024e-01,1.2661e-01,9.6488e-02,5.2823e-01,20,32,-2.9699e-01,4.1237e-01
3,2,1.3872e+00,4.7534e-01,1.0148e-01,9.6121e-02,5.3272e-01,21,32,-2.9699e-01,4.1898e-01
3,3,1.2936e+00,4.3877e-01,1.2901e-01,9.6353e-02,5.2985e-01,22,32,-2.9699e-01,4.1479e-01
3,4,1.1965e+00,4.3217e-01,1.3727e-01,9.6440e-02,5.2881e-01,23,38,-2.9699e-01,4.1323e-01
3,5,1.1373e+00,4.2806e-01,1.4337e-01,9.6471e-02,5.2843e-01,24,44,-2.9699e-01,4.1267e-01
4,0,2.0925e+00,5.1782e-01,8.8571e-02,9.6921e-02,5.2617e-01,22,40,-2.9542e-01,4.1031e-01
4,1,2.0004e+00,5.1024e-01,1.2661e-01,9.6488e-02,5.2823e-01,23,40,-2.9699e-01,4.1237e-01
4,2,1.2941e+00,4.9599e-01,9.1767e-02,9.6089e-02,5.3411e-01,24,40,-2.9652e-01,4.2129e-01
4,3,1.2401e+00,4.4350e-01,1.2353e-01,9.6247e-02,5.3114e-01,25,40,-2.9699e-01,4.1669e-01
4,4,1.1682e+00,4.3432e-01,1.3454e-01,9.6397e-02,5.2931e-01,26,40,-2.9699e-01,4.1399e-01
4,5,1.1005e+00,4.2988e-01,1.4160e-01,9.6492e-02,5.2819e-01,27,46,-2.9699e-01,4.1230e-01
5,0,2.0925e+00,5.1782e-01,8.8570e-02,9.6921e-02,5.2617e-01,25,48,-2.9543e-01,4.1030e-01
5,1,2.0004e+00,5.1024e-01,1.2661e-01,9.6488e-02,5.2823e-01,26,48,-2.9699e-01,4.1237e-01
5,2,1.2259e+00,4.7168e-01,1.0290e-01,9.6066e-02,5.3341e-01,27,48,-2.9699e-01,4.1997e-01
5,3,1.1615e+00,4.4149e-01,1.2539e-01,9.6239e-02,5.3124e-01,28,48,-2.9699e-01,4.1683e-01
5,4,1.1104e+00,4.3456e-01,1.3448e-01,9.6366e-02,5.2968e-01,29,48,-2.9699e-01,4.1455e-01
5,5,1.0879e+00,4.3027e-01,1.4045e-01,9.6457e-02,5.2860e-01,30,48,-2.9699e-01,4.1293e-01
