Grau_P,Grau_mu,Erro_Norma,Max_Gap,Min_Gap,Norma_Melhor_Caso,Norma_Pior_Caso,Variaveis,Linhas_LMI,K_wc_Mode1_1,K_wc_Mode1_2
1,0,4.0077e+02,9.6162e+00,6.3815e+00,0,3.2347e+00,19,32,-3.5080e-01,9.2431e-01
1,1,2.4899e+02,8.9302e+00,1.1832e+00,0,3.1736e+00,22,32,-3.4863e-01,9.2365e-01
1,2,1.6411e+02,8.3322e+00,1.0560e+00,0,3.1766e+00,28,68,-3.4874e-01,9.2368e-01
1,3,1.2508e+02,8.1110e+00,8.6086e-01,0,3.1748e+00,38,128,-3.4867e-01,9.2366e-01
1,4,1.0288e+02,8.0302e+00,7.2044e-01,0,3.1434e+00,53,218,-3.4802e-01,9.2285e-01
1,5,8.8602e+01,7.9588e+00,6.2380e-01,0,3.1208e+00,74,344,-3.4756e-01,9.2224e-01
2,0,4.0077e+02,9.6162e+00,6.3814e+00,0,3.2347e+00,37,80,-3.5080e-01,9.2431e-01
2,1,2.4899e+02,8.9302e+00,1.1831e+00,0,3.1736e+00,40,80,-3.4863e-01,9.2365e-01
2,2,1.6285e+02,8.3253e+00,1.0382e+00,0,3.1750e+00,46,80,-3.4868e-01,9.2366e-01
2,3,1.2281e+02,8.0264e+00,8.2243e-01,0,3.1833e+00,56,140,-3.4898e-01,9.2375e-01
2,4,9.9695e+01,7.8743e+00,6.8345e-01,0,3.1912e+00,71,230,-3.4926e-01,9.2384e-01
2,5,8.4947e+01,7.7538e+00,5.8955e-01,0,3.1984e+00,92,356,-3.4952e-01,9.2392e-01
3,0,4.0077e+02,9.6162e+00,6.3814e+00,0,3.2347e+00,67,160,-3.5080e-01,9.2431e-01
3,1,2.4899e+02,8.9302e+00,1.1831e+00,0,3.1736e+00,70,160,-3.4863e-01,9.2365e-01
3,2,1.6160e+02,8.3162e+00,1.0135e+00,0,3.1741e+00,76,160,-3.4865e-01,9.2365e-01
3,3,1.2172e+02,8.0119e+00,8.1764e-01,0,3.1813e+00,86,160,-3.4890e-01,9.2373e-01
3,4,9.8892e+01,7.8635e+00,6.7907e-01,0,3.1892e+00,101,250,-3.4919e-01,9.2382e-01
3,5,8.4164e+01,7.7420e+00,5.8302e-01,0,3.1962e+00,122,376,-3.4944e-01,9.2390e-01
4,0,4.0077e+02,9.6162e+00,6.3814e+00,0,3.2347e+00,112,280,-3.5080e-01,9.2431e-01
4,1,2.4899e+02,8.9302e+00,1.1831e+00,0,3.1736e+00,115,280,-3.4863e-01,9.2365e-01
4,2,1.6065e+02,8.3175e+00,9.8489e-01,0,3.1736e+00,121,280,-3.4863e-01,9.2365e-01
4,3,1.1866e+02,7.9747e+00,7.4309e-01,0,3.1769e+00,131,280,-3.4875e-01,9.2368e-01
4,4,9.8242e+01,7.8473e+00,6.7638e-01,0,3.1881e+00,146,280,-3.4915e-01,9.2381e-01
4,5,8.3614e+01,7.7220e+00,5.7974e-01,0,3.1956e+00,167,406,-3.4942e-01,9.2389e-01
5,0,4.0077e+02,9.6162e+00,6.3814e+00,0,3.2348e+00,175,448,-3.5080e-01,9.2432e-01
5,1,2.4899e+02,8.9302e+00,1.1831e+00,0,3.1736e+00,178,448,-3.4863e-01,9.2365e-01
5,2,1.5497e+02,8.0803e+00,1.0648e+00,0,3.1942e+00,184,448,-3.4937e-01,9.2388e-01
5,3,1.1680e+02,7.8980e+00,7.2464e-01,0,3.1754e+00,194,448,-3.4869e-01,9.2367e-01
5,4,9.4728e+01,7.7448e+00,6.3239e-01,0,3.1872e+00,209,448,-3.4912e-01,9.2380e-01
5,5,8.3281e+01,7.7133e+00,5.7886e-01,0,3.1948e+00,230,448,-3.4939e-01,9.2388e-01
